date,ticker,name,wave_stage,score,close,volume,MA20,MA50,RSI,Position52
2025-12-30,000390,삼화페인트공업,Early Uptrend,80,7690.0,5554089.0,6696.5,6146.6,69.31106471816284,0.48214285714285715
2025-12-30,019540,일지테크,Transition,80,4170.0,30877.0,4185.5,4047.7,47.27272727272727,0.5843137254901961
2025-12-30,139670,키네마스터,Early Uptrend,80,2600.0,1099977.0,2074.75,2031.32,74.89177489177489,0.4651442307692308
2025-12-30,120240,대정화금,Transition,80,13280.0,18671.0,13227.0,12873.4,46.666666666666664,0.34782608695652173
2025-12-30,308170,씨티알모빌리티,Early Uptrend,80,6810.0,1046112.0,4955.25,4919.5,78.96389324960754,0.6312997347480106
2025-12-30,003520,영진약품,Transition,80,2005.0,690519.0,1998.75,2003.18,48.786407766990294,0.2631578947368421
2025-12-30,000680,LS네트웍스,Transition,75,3385.0,182485.0,3312.0,3347.5,61.151079136690655,0.26268115942028986
2025-12-30,052020,에스티큐브,Transition,75,8240.0,338801.0,7518.0,7799.4,62.57485029940119,0.5513078470824949
2025-12-30,059090,미코,Transition,75,13550.0,230161.0,13695.0,14152.8,46.666666666666664,0.5913654618473896
2025-12-30,047770,코데즈컴바인,Transition,75,2830.0,409073.0,2880.5,2959.5,49.264705882352935,0.511326860841424
2025-12-30,053620,태양,Transition,75,6500.0,14288.0,6532.0,6349.4,51.94805194805195,0.4645669291338583
2025-12-30,039560,다산네트웍스,Transition,75,3180.0,146484.0,3134.25,3143.6,57.77777777777777,0.44808743169398907
2025-12-30,043360,디지아이,Transition,75,2295.0,22008.0,2208.75,2120.46,52.54237288135593,0.5287739783152627
2025-12-30,052710,아모텍,Transition,75,9720.0,119368.0,9594.0,9765.2,51.29870129870131,0.5544729849424269
2025-12-30,074600,원익QnC,Transition,75,21400.0,317762.0,20749.5,21505.2,52.88461538461538,0.4880952380952381
2025-12-30,077500,유니퀘스트,Transition,75,6640.0,175912.0,6308.0,6463.6,65.0,0.4916467780429594
2025-12-30,025980,아난티,Transition,75,7810.0,583757.0,7645.5,7719.4,54.70588235294118,0.3979135618479881
2025-12-30,001550,조비,Transition,75,11750.0,9266.0,11384.5,11372.4,63.945578231292515,0.2973372781065089
2025-12-30,347740,피엔케이피부임상연구센타,Transition,75,2560.0,42188.0,2501.75,2558.7,56.07476635514019,0.4419306184012066
2025-12-30,008830,대동기어,Transition,75,17310.0,172841.0,17169.5,16555.0,55.15818431911966,0.2962962962962963
2025-12-30,317690,퀀타매트릭스,Transition,75,4790.0,982097.0,4289.25,4227.7,61.22448979591836,0.3920335429769392
2025-12-30,103140,풍산,Transition,75,106900.0,235484.0,103385.0,105168.0,53.97350993377483,0.4699675324675325
2025-12-30,106240,파인테크닉스,Transition,75,1371.0,141759.0,1336.5,1340.04,56.36792452830189,0.35
